	GeneID	count	gene_symbol
24175	619410	1	NEDE
24176	619411	1	LVNC2
24177	619418	2	FAM90A21P
24178	619434	1	LINC00051
24179	619443	1	RPS26P7
24180	619448	1	RPS12P2
24181	619449	3	RPIAP1
24182	619452	1	RPS29P2
24183	619455	3	SPANXA2-OT1
24184	619465	3	ERVK-8
24185	619468	1	RCM2
24186	619469	1	DELYQ11
24187	619471	1	PPR3
24188	619475	1	PFM3
24189	619477	3	GCCD3
24190	619478	1	ATFB2
24191	619479	1	STQTL5
24192	619480	1	MDBS2
24193	619488	1	SCZD12
24194	619493	1	PAND2
24195	619496	1	CMT2H
24196	619498	3	SNORD74
24197	619499	4	SNORA27
24198	619501	1	HCC
24199	619503	1	FIQTL1
24200	619505	8	SNORA21
24201	619509	2	WTRS
24202	619510	1	AMCX5
24203	619511	1	MHB
24204	619518	1	SSBP3-AS1
24205	619536	1	BPPV
24206	619537	1	VV
24207	619538	1	OMS
24208	619539	1	LOC619539
24209	619540	1	LOC619540
24210	619552	106	MIR483
24211	619553	33	MIR484
24212	619554	118	MIR486-1
24213	619555	22	MIR487A
24214	619556	91	MIR455
24215	619562	4	SNORA3A
24216	619563	6	SNORA7A
24217	619564	2	SNORD72
24218	619565	7	SNORA52
24219	619567	4	SNORD2
24220	619568	4	SNORA4
24221	619569	5	SNORA41
24222	619570	3	SNORD95
24223	619571	2	SNORD96A
24224	641293	2	RPL21P19
24225	641298	4	SMG1P1
24226	641311	3	RPL31P11
24227	641339	7	ZNF674
24228	641364	5	SLC7A11-AS1
24229	641365	2	LINC00616
24230	641367	1	CCNYL6
24231	641371	27	ACOT1
24232	641372	7	ACOT6
24233	641373	14	NRON
24234	641384	7	LINC02912
24235	641433	1	RP32
24236	641451	4	SNORA19
24237	641455	6	POTEM
24238	641456	1	CRIP1P2
24239	641457	1	CRIP1P4
24240	641467	1	TSC22D1-AS1
24241	641515	4	MGAT4EP
24242	641516	6	KC6
24243	641517	11	DEFB109B
24244	641518	21	LEF1-AS1
24245	641556	1	RPL36AP6
24246	641614	1	RPL23AP8
24247	641616	1	RPL9P3
24248	641638	47	SNHG6
24249	641648	6	SNORD87
24250	641649	10	TMEM91
24251	641654	9	HEPN1
24252	641700	19	ECSCR
24253	641702	3	FAM138F
24254	641746	1	LOC641746
24255	641776	2	SPDYE14
24256	641790	1	RPL31P39
24257	641808	2	FAM185BP
24258	641842	2	SLC23A4P
24259	641922	2	UNC93B2
24260	641924	1	FAM86LP
24261	641977	7	SEPTIN7P2
24262	642006	1	GUSBP10
24263	642007	1	GUSBP12
24264	642131	1	LOC642131
24265	642204	2	LOC642204
24266	642236	3	FRG1JP
24267	642259	1	GAPDHP70
24268	642262	1	NCOA4P4
24269	642273	13	FAM110C
24270	642280	5	ZNF876P
24271	642305	1	MAPRE1P2
24272	642306	1	RPL19P15
24273	642311	4	BMS1P15
24274	642320	1	RPL36AP31
24275	642337	1	FTLP17
24276	642345	4	MIR4500HG
24277	642355	2	LOC642355
24278	642361	2	LOC642361
24279	642366	1	ISL1-DT
24280	642381	1	LOC642381
24281	642394	5	ADARB2-AS1
24282	642413	1	CTSLP6
24283	642414	1	LOC642414
24284	642425	1	TRIM53BP
