candidate_gene,neighbors,neighbors_in_seed,neighbors_divide_by_interactome_size,neighbors_in_seed_divide_by_seed_size,ratios,p_value,fdr_bh
SUPT6H,74,3,0.003975075204125484,0.0297029702970297,7.472303987155471,0.002,0.0037139437462597245
PTPN9,76,3,0.0040825096691018475,0.0297029702970297,7.275664408546118,0.002,0.0037139437462597245
SLC9A3R1,93,3,0.004995702621400946,0.0297029702970297,5.945704247844138,0.002,0.0037139437462597245
BIN1,122,3,0.00655350236355823,0.0297029702970297,4.532381106963155,0.002,0.0037139437462597245
GATA4,97,3,0.005210571551353674,0.0297029702970297,5.70052056752067,0.002,0.0037139437462597245
HADHB,98,3,0.005264288783841857,0.0297029702970297,5.64235199030107,0.002,0.0037139437462597245
DDB2,107,3,0.005747743876235496,0.0297029702970297,5.167761635976682,0.002,0.0037139437462597245
ERRFI1,97,3,0.005210571551353674,0.0297029702970297,5.70052056752067,0.002,0.0037139437462597245
ANAPC7,91,3,0.004888268156424581,0.0297029702970297,6.076379066478076,0.002,0.0037139437462597245
SPECC1,34,2,0.001826385904598195,0.019801980198019802,10.842166569598136,0.002,0.0037139437462597245
TBPL1,43,2,0.002309840996991835,0.019801980198019802,8.572875892240386,0.002,0.0037139437462597245
SH3BP2,38,2,0.0020412548345509238,0.019801980198019802,9.700885878061491,0.002,0.0037139437462597245
ADARB1,43,2,0.002309840996991835,0.019801980198019802,8.572875892240386,0.002,0.0037139437462597245
EFNB1,44,2,0.002363558229480017,0.019801980198019802,8.378037803780378,0.002,0.0037139437462597245
FOXC2,46,2,0.0024709926944563817,0.019801980198019802,8.013775290572536,0.002,0.0037139437462597245
AGR3,36,2,0.0019338203695745595,0.019801980198019802,10.23982398239824,0.002,0.0037139437462597245
DEUP1,79,2,0.0042436613665663946,0.019801980198019802,4.66624890337135,0.002,0.0037139437462597245
POF1B,49,2,0.0026321443919209283,0.019801980198019802,7.523135987068095,0.002,0.0037139437462597245
H2AC18|H2AC19,46,2,0.0024709926944563817,0.019801980198019802,8.013775290572536,0.002,0.0037139437462597245
NELFE,65,2,0.0034916201117318434,0.019801980198019802,5.671287128712872,0.002,0.0037139437462597245
TCF7,56,2,0.0030081650193382035,0.019801980198019802,6.582743988684583,0.002,0.0037139437462597245
RPRD1A,69,2,0.0037064890416845723,0.019801980198019802,5.34251686038169,0.002,0.0037139437462597245
ACTR3C,32,2,0.0017189514396218307,0.019801980198019802,11.51980198019802,0.002,0.0037139437462597245
PROM1,38,2,0.0020412548345509238,0.019801980198019802,9.700885878061491,0.002,0.0037139437462597245
TWF2,43,2,0.002309840996991835,0.019801980198019802,8.572875892240386,0.002,0.0037139437462597245
ENAH,63,2,0.003384185646755479,0.019801980198019802,5.8513279899418515,0.002,0.0037139437462597245
S100A1,42,2,0.0022561237645036527,0.019801980198019802,8.776991984912778,0.002,0.0037139437462597245
PTPN3,52,2,0.002793296089385475,0.019801980198019802,7.089108910891089,0.002,0.0037139437462597245
SENP2,57,2,0.003061882251826386,0.019801980198019802,6.467257252040993,0.002,0.0037139437462597245
TEAD3,39,2,0.002094972067039106,0.019801980198019802,9.452145214521453,0.002,0.0037139437462597245
CD19,43,2,0.002309840996991835,0.019801980198019802,8.572875892240386,0.002,0.0037139437462597245
SIX1,30,2,0.0016115169746454662,0.019801980198019802,12.287788778877887,0.002,0.0037139437462597245
DLGAP4,48,2,0.002578427159432746,0.019801980198019802,7.67986798679868,0.002,0.0037139437462597245
MTHFD1,74,2,0.003975075204125484,0.019801980198019802,4.9815359914369814,0.002,0.0037139437462597245
ATP1B2,35,2,0.0018801031370863773,0.019801980198019802,10.532390381895333,0.002,0.0037139437462597245
BRF1,42,2,0.0022561237645036527,0.019801980198019802,8.776991984912778,0.002,0.0037139437462597245
HSD17B3,51,2,0.0027395788568972926,0.019801980198019802,7.228111046398758,0.002,0.0037139437462597245
ST3GAL1,64,2,0.0034379028792436614,0.019801980198019802,5.75990099009901,0.002,0.0037139437462597245
UBR2,64,2,0.0034379028792436614,0.019801980198019802,5.75990099009901,0.002,0.0037139437462597245
MAP7D1,37,2,0.001987537602062742,0.019801980198019802,9.963071982873963,0.002,0.0037139437462597245
EIF4EBP1,54,2,0.0029007305543618392,0.019801980198019802,6.826549321598827,0.002,0.0037139437462597245
MPZL1,49,2,0.0026321443919209283,0.019801980198019802,7.523135987068095,0.002,0.0037139437462597245
ZNF34,49,2,0.0026321443919209283,0.019801980198019802,7.523135987068095,0.002,0.0037139437462597245
RABL6,45,2,0.0024172754619681994,0.019801980198019802,8.191859185918592,0.002,0.0037139437462597245
KMT2E,47,2,0.0025247099269445636,0.019801980198019802,7.843269433326312,0.002,0.0037139437462597245
RDX,49,2,0.0026321443919209283,0.019801980198019802,7.523135987068095,0.002,0.0037139437462597245
BABAM1,61,2,0.003276751181779115,0.019801980198019802,6.043174809284207,0.002,0.0037139437462597245
SERPINB9,41,2,0.0022024065320154704,0.019801980198019802,8.991064960154553,0.002,0.0037139437462597245
LONP1,64,2,0.0034379028792436614,0.019801980198019802,5.75990099009901,0.002,0.0037139437462597245
MLLT1,52,2,0.002793296089385475,0.019801980198019802,7.089108910891089,0.002,0.0037139437462597245
CYC1,32,2,0.0017189514396218307,0.019801980198019802,11.51980198019802,0.002,0.0037139437462597245
PAK6,54,2,0.0029007305543618392,0.019801980198019802,6.826549321598827,0.002,0.0037139437462597245
DUSP3,51,2,0.0027395788568972926,0.019801980198019802,7.228111046398758,0.002,0.0037139437462597245
PPP1R9B,48,2,0.002578427159432746,0.019801980198019802,7.67986798679868,0.002,0.0037139437462597245
ANGPTL4,41,2,0.0022024065320154704,0.019801980198019802,8.991064960154553,0.002,0.0037139437462597245
DDX51,29,2,0.001557799742157284,0.019801980198019802,12.711505633321952,0.002,0.0037139437462597245
CD28,37,2,0.001987537602062742,0.019801980198019802,9.963071982873963,0.002,0.0037139437462597245
ASCC2,59,2,0.00316931671680275,0.019801980198019802,6.248028192649774,0.002,0.0037139437462597245
IDH3B,36,2,0.0019338203695745595,0.019801980198019802,10.23982398239824,0.002,0.0037139437462597245
PGAM1,43,2,0.002309840996991835,0.019801980198019802,8.572875892240386,0.002,0.0037139437462597245
ARHGAP21,40,2,0.0021486892995272885,0.019801980198019802,9.215841584158415,0.002,0.0037139437462597245
DACH1,42,2,0.0022561237645036527,0.019801980198019802,8.776991984912778,0.002,0.0037139437462597245
PTDSS1,49,2,0.0026321443919209283,0.019801980198019802,7.523135987068095,0.002,0.0037139437462597245
ANK1,54,2,0.0029007305543618392,0.019801980198019802,6.826549321598827,0.002,0.0037139437462597245
FECH,53,2,0.002847013321873657,0.019801980198019802,6.955352138987484,0.002,0.0037139437462597245
CKB,55,2,0.0029544477868500216,0.019801980198019802,6.702430243024303,0.002,0.0037139437462597245
ARID4A,32,2,0.0017189514396218307,0.019801980198019802,11.51980198019802,0.002,0.0037139437462597245
POLD2,56,2,0.0030081650193382035,0.019801980198019802,6.582743988684583,0.002,0.0037139437462597245
ZNF281,47,2,0.0025247099269445636,0.019801980198019802,7.843269433326312,0.002,0.0037139437462597245
NAA15,40,2,0.0021486892995272885,0.019801980198019802,9.215841584158415,0.002,0.0037139437462597245
PNO1,35,2,0.0018801031370863773,0.019801980198019802,10.532390381895333,0.002,0.0037139437462597245
HECTD1,54,2,0.0029007305543618392,0.019801980198019802,6.826549321598827,0.002,0.0037139437462597245
